root_tweet_id,customer_text,golden_intent,predicted_intent,confidence,reply,escalation_decision,escalation_reason
631678,@115830 is it common practice for your delivery drivers to leave packages in the wheelie bins of customers?,Delivery Issue,Delivery Issue,0.3042217248378299,I’m sorry to hear that. Please send us the order and tracking numbers so we can look into this for you: https,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1300529,@120169,Other / Unclear,Other / Unclear,0.35030279183749014,Thank you for reaching out. Could you please let us know what you need help with so we can assist you further?,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1197534,"@115850 I have order this on Diwali sale , now you have automatically cancel the order give me reply otherwise I go to consumer court https://t.co/xNvfM3CSaO @AmazonHelp There is no contact no. In this link",Order Management,Order Management,0.6648991433405442,"I’m sorry to hear that your order was cancelled.  
We’ve already sent a cancellation notice to the email address on file – please check your inbox (including spam/junk folders).  
If you need further assistance, you can share your order details here: https://t.co/yTCExnB8bg.  

Thank you for your patience.",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
130815,When @115821 won’t let you log in or change your password so you can’t add anything to your lists 😒😒😒,Account / Access / Security,Account / Access / Security,0.8231941324142557,I’m sorry you’re having trouble logging in or changing your password. Please contact us here: https://t,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2714715,Amazonから架空請求きてるしいろんな意味で鬱 @AmazonHelp ご丁寧にありがとうございます！,Account / Access / Security,Other / Unclear,0.5724978047409885,"ご連絡ありがとうございます。  
架空請求についてご不安な点がございましたら、詳細（請求内容や送付先など）をお知らせください。必要に応じて、サポートへご連絡いただけますと幸いです。",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2467941,"@116875 requiero ayuda para recuperar mi cuenta, ya que dice que está bloqueada. @AmazonHelp No, me aparece que al iniciar sesión dice que los pedidos están pasados por actividad sospechosa y fue bloqueada la cuenta, y pide subir un estado de cuenta para verificar mi identidad",Account / Access / Security,Other / Unclear,0.318478835316914,"Hola, sin compartir datos sensibles de tu cuenta, ¿has recibido algún correo con instrucciones para desbloquearla? Si no lo has recibido, por favor contacta a nuestro equipo de soporte para que puedan asistirte con el proceso de verificación. ¡Gracias!",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2279685,@115850 will you give my money back.Or I start legal forgery case for loss. @AmazonHelp This has been shared already.Please use my order no to check in your server.I am not stupid to repeat same story again to each of you . https://t.co/7ybNd9BJ3e,Return / Refund,Return / Refund,0.4106952214834469,,ESCALATE,"High-risk account, financial, legal, or safety-related issue."
1239541,何かアマゾンサポートセンターって所から至急確認したいことがあるので本日中に電話くれってメール来たのだが @AmazonHelp リプありがとうございます,Account / Access / Security,Other / Unclear,0.6516590262827326,"@AmazonHelp ご連絡ありがとうございます。  
電話での対応はできませんが、チャットやメールでご質問にお答えできます。  
ご確認したい内容を教えていただけますか？",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2948060,Not impressed with @115830 leaving my parcel in plain view by my front door. I was in all day!,Delivery Issue,Delivery Issue,0.3737506133216347,I’m really sorry about this delivery. Please reach out to us here: https://t.co/JzP7hlA23B to report the issue and discuss next steps.,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2835720,"Amici di @120540 ho finito il tè e sono troppo cybermonday per uscire di casa a pigliarlo. Mi serve entro le 17 a Monza. Pago bene (cioè no, pago il giusto). Con fettina di limone, grazie! @AmazonHelp Vengo io o venite voi? Io ho il costume da mattoniglio a lavare però. @AmazonHelp Lo sapevo che c'era la fregatura. :( @AmazonHelp Ho appena concluso due ordini su Amazon. Se mi infilate nella scatola un unicorno siete perdonati.",Other / Unclear,Other / Unclear,0.32214398864121435,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
323779,"@AmazonHelp comment faire pour commander chez vous mais ne pas se faire livrer par amazon logistique, colis déposé dans la rue non merci !",Delivery Issue,Other / Unclear,0.28104951111200477,"Je comprends votre demande. Pour choisir un autre mode de livraison, veuillez contacter le service client ou vérifier les options de livraison disponibles lors de votre commande.",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1916322,I’ve had the worst shipping experience with the @115821 carrier service in Boston over the past 3 days. Cancelled my order. Your experience? @AmazonHelp I plan on never ordering from amazon again.  Trust is gone. I was lied to many times on the phone. What number can I reach you at?,Delivery Issue,Delivery Issue,0.32506492116246083,I’m sorry you’ve had,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1899862,@115833 last night my Echo &amp; Dot both started taking really long to respond and initiate commands. No change after reboot. Fixes? @AmazonHelp Yes. Light ring working. Appears to work as normal but delay between request and response it 2-3X the normal rate I've come to expect.,Product / Device Support,Product / Device Support,0.6064790234844961,"Hi there,

I’m sorry you’re experiencing delays with your Echo and Echo Dot. Let’s try a few quick checks that often help:

1. **Do Not Disturb** – Make sure “Do Not Disturb” isn’t enabled. You can say, “Alexa, turn off Do Not Disturb,” or check the setting in the Alexa app",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
33195,"#alexaindia I am not able access skills from US !!! THIS IS A CRIPPLED SERVICE FROM AMAZON @121284 @AmazonHelp Yeelight &amp; ewelink and the option for opting for US English @AmazonHelp Yes, I got in touch still the issue is not resolved, they change my profile to US but it automatically changes to the indian server. grrr",Product / Device Support,Product / Device Support,0.3450569701411698,I’m sorry you’re having trouble accessing,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1362477,1 aydır yanlış bakıyormuşum kargoya 13 ünde verilecekmiş ve 21kasım-7 Aralık bende olacakmış pardon ürün yürüyerek mi geliyor @116316,Delivery Issue,Other / Unclear,0.3152431164881602,"Merhaba,  

Gönder",ESCALATE,Insufficient similarity to historical support cases.
2435672,@115851 Request you to personally look in this issue ordered # 405-6870644-6019532. 17 days delay still waiting. Please help @115821 @AmazonHelp You are not responding to my emails in proper way so have to write it here.,Delivery Issue,Delivery Issue,0.2665593879834833,I’m sorry for the delay and understand,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2291777,@115850 @115821 is the most pathetic e-commerce website with the most pathetic after sales services and customer service I have ever seen. I am expecting my money to be returned since Sept 17 and despite sending n number of emails I have been given the same response every time.,Return / Refund,Return / Refund,0.4543848911172403,"I’m sorry you’ve been waiting so long for a resolution.  
Could you please share the order number (and any reference or case number you have) so we can look into the status of your refund?",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1579071,@115830 question: if a one day delivery is ‘arriving today’ but ‘dispatching now’ does that mean it’ll arrive today or tomorrow?? 🤔,Delivery Issue,Delivery Issue,0.7960715156094064,"If your order is “dispatching now,” it can still arrive today—packages can be shipped and delivered the same day. If it hasn’t arrived by 21:00, please let us know. Next‑day delivery is calculated from the dispatch time, so the arrival window starts when the item leaves the warehouse.",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
872138,@115821 the last few purchases I made were lost in shipping or took more than 5 days to get here. I pay for 2 day shipping and expect that @AmazonHelp 112-7748883-3137824,Delivery Issue,Delivery Issue,0.22985671900856697,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1614107,You know that you buy way too many items from Amazon when the delivery guy for your street calls you by your first name....,Other / Unclear,Order Management,0.2866062329360256,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
804029,@115850 delivery boy took extra Rs.50 from my mother @115850 I have already done that.,Payment / Billing,Delivery Issue,0.4032570322448202,We’re sorry to hear about this. Please report the incident here: https://t.co/2t6DQoUmNZ and our team will investigate.,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2870631,"@127917 Hello. Package was supposed to be delievered today - tracking says it was delayed, but Amazon says it's still coming today.",Delivery Issue,Delivery Issue,0.8467698365555336,I’m sorry for the delay. Could you share the tracking link or number so we can look into it?,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
584606,@257954 last night I placed my order for Meet me at 10. Amazon says it should arrive in the post Friday. I am so excited for this book. 😀📚,Order Management,Delivery Issue,0.4474827032071046,"I’m sorry you haven’t received your book yet.  
Could you let me know the delivery date that was given to you in the order confirmation or email? Also, was the item listed as shipped by Amazon or by a third‑party seller?",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2769708,@115850 Do I am you regarding delivery feedback ?,Delivery Issue,Delivery Issue,0.4191853735845525,Thank you for reaching out. Could you share more details about the delivery experience? Please contact us here,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1197492,"@115850 Hi, when is Amazon Music launching in India? @AmazonHelp I am already Prime Member, can't it just be accessed by mobile/PC? @AmazonHelp Hi not able to access above link...can you please check?",Digital Content,Digital Content,0.4890431247284054,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2009973,"Wenn @124285 und @122924 zuverlässiger sind als das hausinterne Logistikunternehmen von @116316 , heisst das: #Prime kündigen!! #sauer @AmazonHelp Und alle gingen übers hausinterne Logistikunternehmen. Meine Tochter ist 4 Wochen alt, da kann ich halt nicht ständig selber losfahren 2/2",Delivery Issue,Other / Unclear,0.3299195429312407,"Es tut uns leid, dass Sie solche Lieferprobleme erleben.  
Bitte teilen Sie uns Ihre Bestellnummer mit, damit wir den Status prüfen können.  
Sie können sich jederzeit über diesen Link an unseren Kundenservice wenden:  
https://t.co/",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
492254,"@116928 de nuevo me falla con los paquetes, ya van varias veces este año, ahora por culpa de @132703 Badajoz rompiendo paquetes y como no con mentiras de @135806 y eso que no hemos salido de casa (cosa que otras veces puede pasar).",Delivery Issue,Other / Unclear,0.3594802443371933,"Hola, sentimos los inconvenientes con la entrega",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1545741,@115850 @AmazonHelp It shows that the product is not included in return option,Damaged / Wrong / Missing Item,Return / Refund,0.9628417775611864,"I’m sorry you’re having trouble seeing the return option.  
Please review our return policies here: https://t.co/EHHLqFT3qm.  
If you still can’t find the option or",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
227688,.@115850 I ordered for a laptop recently and received a faulty piece that wouldn't charge. Your pickup guy has refused to replace it.,Damaged / Wrong / Missing Item,Return / Refund,0.4083995872319902,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2805925,"And really, may show as delivered 36 hours prior to actual delivery? Do you not see the issue with this, @AmazonHelp ??? https://t.co/gjOsnjep1O",Delivery Issue,Delivery Issue,0.649152492542503,"Hi, I’m sorry you’re seeing a",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1193446,"my mom &amp; I were both getting amazon boxes today, they delivered hers, but sent me a notice that said the driver couldn’t find address 😒😒 wut",Delivery Issue,Delivery Issue,0.3539448775168645,I’m sorry to hear that. Please reach out,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1562039,Amazonの荷物が届かないー,Delivery Issue,Other / Unclear,0.6076252585804984,ご連絡ありがとうございます。ご注文いただいた荷物がまだ届いていないとのこと、心よりお詫び申し上げます。お手数ですが、注文番号とご注文日を教えていただけますでしょうか。確認次第、速やかにご案内いたします。,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
837108,@42940 @260863,Return / Refund,Other / Unclear,0.2921752664762885,Hello! We’re here to help. Could you please let us know what issue you’re experiencing? Please avoid sharing personal account details here.,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
671803,"@115851 @30882 @AmazonHelp. Oh well, surprise still no contact &amp; total waste of time. The ship is certainly sinking &amp; you couldn’t care less about your so called “Delivery Partners” or the families they provide for! 😡👎🏻 @AmazonHelp Yes I did and once again a total waste of time. 2nd standardised email from the company. Absolute shambolic @AmazonHelp Same rubbish that we always receive:",Other / Unclear,Delivery Issue,0.43872529313940345,"I’m really sorry you’re experiencing this.  
Could you please share the order",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2616433,"@AmazonHelp No point in having #SafePlace options permanently set if drivers ignore them &amp; take packages back to the depot, waste of a Prime subscription as I'm unable to wait at home all day",Prime Membership,Delivery Issue,0.3162345809502483,I’m sorry you’re having trouble with the delivery. Drivers only,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1838912,When @115830 mess up on a pre order and don't dispatch it on time 🤦🏼‍♀️,Delivery Issue,Order Management,0.5388011236218114,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2820516,ねー、Amazonさんお支払いメールまだ？ @AmazonHelp リプありがとうございます。,Payment / Billing,Other / Unclear,0.5332559130272594,お支払いメールについてご確認いただきありがとうございます。ご注文番号を教えていただけますでしょうか？それに基づいて確認いたします。,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1368957,"@136314 why can't my Echo Dot find Prime playlists any more? It's very frustrating as playing them is the main thing I use it for. @AmazonHelp It shows it correctly in settings &amp; includes it in the response, e.g. ""I don't see the playlist Relaxing Classical in your music library""",Product / Device Support,Product / Device Support,0.3876827564639108,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
200031,Need help with my amazon fire stick.,Product / Device Support,Product / Device Support,0.4968452016681656,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2380837,Amazon Prime Musicいいなあ。プレイリストを何も考えずに流し続けれるのはありがたい。,Digital Content,Digital Content,0.4210098304957055,お楽しみいただけて嬉しいです！ぜひお気に入りのプレイリストを思いっきりお楽しみください😊,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
