root_tweet_id,thread_size,conversation,intent,annotation_notes
644852,2,"CUSTOMER: @AmazonHelp hello can I have a link for a live chat please I cannot find it on the site

AMAZON: @196672 Absolutely! We can be reached via chat here: https://t.co/JzP7hlA23B ^AN",Other / Unclear,
2948060,2,"CUSTOMER: Not impressed with @115830 leaving my parcel in plain view by my front door. I was in all day!

AMAZON: @444029 Truly sorry to hear you've had this delivery experience, Chis! Have you had the chance to report this to us directly, via phone/chat? With Twitter, we have no account access. You can reach out here: https://t.co/JzP7hlA23B ^JE",Delivery Issue,
2317931,10,"CUSTOMER: @AmazonHelp I'm still waiting for my refund one week later...what's happening?

AMAZON: @164791 Hi. I'm afraid we don't have access to account/order information through social media. What were you advised when you contacted us directly? ^DC

CUSTOMER: @AmazonHelp I cancelled Prime membership and have been expecting a credit to my account since. Please advise where I can follow up on the progress. It’s been past 5 working days already

AMAZON: @164791 Did you get a confirmation email that the refund was processed to your card? ^KM

CUSTOMER: @AmazonHelp Yup

AMAZON: @164791 It can take 5-7 business days depending on your banks processing time. ^MC

CUSTOMER: @AmazonHelp Email said 3-5. Why the change of goalposts now?

AMAZON: @164791 Hi. Have you contacted us by phone or chat for clarification? We cannot access your account through here. ^DC

CUSTOMER: @AmazonHelp Give me a link for chat. And no, I shouldn’t have to call for my money now, should I?

AMAZON: @164791 Hi. It's for security reasons that your Amazon account information is not accessible on public social media. You can contact us via this link: https://t.co/hApLpMlfHN We'll be happy to check the status of the refund. Thanks. ^DC",Return / Refund,
1197492,10,"CUSTOMER: @115850 Hi, when is Amazon Music launching in India?

AMAZON: @401365 Amazon Prime Music is one of the music streaming services available exclusively on echo devices (1/3)^SF

AMAZON: @401365 starting 31 October 2017. In order to stream music from Amazon Prime Music on the echo devices, the (2/3)^SF

AMAZON: @401365 customer has to be Amazon Prime Member. To learn more about Amazon Prime go to https://t.co/sZhSgO2VOn. (3/3)^SF

CUSTOMER: @AmazonHelp I am already Prime Member, can't it just be accessed by mobile/PC?

AMAZON: @401365 Amazon Prime Music will be available to Indian Prime Members exclusively on echo devices starting 10/31 1/3 ^SH

AMAZON: @401365 ios, Fire tv , PC etc. For other details, refer: https://t.co/AtrARNtjCu 3/3 ^SH

AMAZON: @401365 and in near future would be available across other devices &amp; operating systems including Android, 2/3 ^SH

CUSTOMER: @AmazonHelp Hi not able to access above link...can you please check?

AMAZON: @401365 Please try this link: https://t.co/dAgSOjGCNC. Keep us posted if the issue persists. ^HK",Digital Content,
1771774,2,"CUSTOMER: @AmazonHelp ça fait deux jours que un livreur a ""un soucis d'adresse"", alors que au début de la semaine j'ai reçu un autre colis de votre part (Tous deux amazon logistics), j'espère que mon colis n'a pas été volé

AMAZON: @532556 Bonjour, je suis désolé pour cela, que dit le suivi de votre colis?
^YL",Delivery Issue,
499970,2,"CUSTOMER: @AmazonHelp do you guys still deliver on weekends with prime one day option? For some reason it defaults to Monday's every time I order on a Friday but still says prime one day

AMAZON: @234418 Thanks for being a Prime member! During this time of year, some deliveries may take slightly longer than usual. As always, please see your up-to-date delivery date at checkout, which provides our most accurate estimate of delivery date. ^BV",Prime Membership,
2669301,2,"CUSTOMER: @AmazonHelp what’s the complaints procedure? So disappointed in the service and now my order won’t arrive in time 😩😩

AMAZON: @721982 Hi Claire. Can you contact us via the below link please: https://t.co/JzP7hlA23B we can look into this further with you. ^NV",Delivery Issue,
1092460,6,"CUSTOMER: @AmazonHelp so, silly question. Ordered something Saturday that is a prime item, but why isnt it being delivered within 2 days?

CUSTOMER: @AmazonHelp I mean one extra isnt the end of the world, but if its an amazon prime item and guaranteed to be delivered within 2 days and it's not...

AMAZON: @169227 We are here to help, Chelsea! You can find more information about shipping dates here: https://t.co/dL5ebqaAVH ^HM

CUSTOMER: @AmazonHelp  https://t.co/rWdLbLAZXe

AMAZON: @169227 Thanks for reaching out! Two-Day Shipping is the transit time for the order to arrive which does exclude weekends. ^DD

AMAZON: @169227 You are so welcome! ""Hoppy"" to help! ^BE",Delivery Issue,
1687767,4,"CUSTOMER: @AmazonHelp How do I get help replacing an order that is marked as ""delivered"" but is nowhere to be found?

AMAZON: @512521 I'm really sorry you didn't receive your order! Here's a link to our Help page for this situation: https://t.co/oNqW1ScNF1 ^BV

CUSTOMER: @AmazonHelp Yes, thanks, I saw that b4 I tweeted. I'd already followed all the steps described there. What next?

AMAZON: @512521 Thank you for clarifying. We can be reached for your next steps and available options here: https://t.co/hApLpMlfHN ^DW",Damaged / Wrong / Missing Item,
1021516,2,"CUSTOMER: @AmazonHelp I want to return some extra money 💰 which was transferred into my account by mistake. Please write back so that I can share details. Diwali 🌋 Gift 🎁 from me. Khusiyoo ki Diwali

AMAZON: @310707 We've responded to your tweet here: https://t.co/bE5oGKYmQm. ^NR",Payment / Billing,
2820516,4,"CUSTOMER: ねー、Amazonさんお支払いメールまだ？
いつもならもうきてる頃だしフラゲできないじゃん😭😭😭

AMAZON: @786132 Amazonです。このたびはご心配をおかけしております。
お支払い番号は商品が出荷準備に入り次第Eメールにてお送りしております。Eメールの内容はメッセージセンターでもご確認いただくことができます。https://t.co/T4O8Kak3dh 　MH

CUSTOMER: @AmazonHelp リプありがとうございます。
確認してみます。

AMAZON: @786132 よろしくお願いいたします。 EK",Payment / Billing,
2631425,2,"CUSTOMER: What thinketh thee?? @115830 . Slight over exaggeration on packaging requirement? #Environmentfail https://t.co/wte7eEr0fJ

AMAZON: @743042 Hey Ali! Wow, that is a big box for that. We'd love to get this feedback submitted! Please send your packaging feedback to us here: https://t.co/pyikpzPbFg Thanks! ^AJ",Other / Unclear,
727893,2,"CUSTOMER: Je dois reconnaître qu'@AmazonHelp réagit très vite lorsqu'on a un problème. Bravo 👏🏻

AMAZON: @183847 Bonjour, je vous remercie pour votre commentaire. Nous et notre SAV sommes là au service de nos clients 🙂 ^ARC",Other / Unclear,
1916322,4,"CUSTOMER: I’ve had the worst shipping experience with the @115821 carrier service in Boston over the past 3 days. Cancelled my order. Your experience?

AMAZON: @570794 I'm so sorry for the experience you've had, Jonathan. Would you please tell us what's going on? We'd like to help! ^MH

CUSTOMER: @AmazonHelp I plan on never ordering from amazon again.  Trust is gone. I was lied to many times on the phone. What number can I reach you at?

AMAZON: @570794 You can contact us via phone or chat here: https://t.co/hApLpMlfHN ^MW",Delivery Issue,
667687,10,"CUSTOMER: @AmazonHelp hola! Me llegó un cargo a mi tarjeta pero ya no he hecho compras hoy, se puede rastrear de que es?

AMAZON: @279150 ¡Hola Daniel! Sentimos los inconvenientes Sin compartir información personal ni confidencial, ¿Podrías indicarnos si el importe es similar al de tu última compra? y ¿Si has recibido alguna notificación a tu correo electrónico por parte de Amazon?  ^PC

CUSTOMER: @AmazonHelp No he recibido correos de Amazon, el domingo hice 2 pedidos (sin problema y con varios cargos aplicados) pero para nada se parece el cargo de hoy que es de 99 pesos

AMAZON: @279150 Daniel, ¿ A cuál sitio web de Amazon pertenece el cargo? ^DS

CUSTOMER: @AmazonHelp México https://t.co/YgddnwtIO1

AMAZON: @279150 Daniel ¿Tienes alguna otra cuenta en https://t.co/nUUp5MLhYl? y ¿Podrías indicarnos el detalle o motivo de cobro que te reportan en el extracto bancario?  ^PC

CUSTOMER: @AmazonHelp Tengo cuenta en la tienda de Estados Unidos y de Mexico con el mismo correo, pero el banco solo me manda el mensaje como en la imagen anterior

AMAZON: @279150 Por este medio no tenemos acceso a tu cuenta Daniel. Por favor entra en contacto con nuestro Servicio al Cliente por este enlace: https://t.co/eJXKURvpr8  ^JJ

CUSTOMER: @AmazonHelp Listo, muchas gracias!

AMAZON: @279150 Con gusto Daniel, estamos para ayudar. ^JD",Payment / Billing,
1544509,6,"CUSTOMER: @115850 @115821 https://t.co/hNDDbomp4r

AMAZON: @478409 Oops! That's quite a delay. Sorry for the delay with the refund. The refund is usually processed within 5-10 days after (1/2) ^KA

AMAZON: @478409 return.  Please connect with us here: https://t.co/00q4Sqj9zL and we'll have this checked for you. (2/2) ^KA

AMAZON: @478409 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA

CUSTOMER: @AmazonHelp I haven't got any refund ...😈 https://t.co/SgbaHS0khH

AMAZON: @478409 Sorry to know that, have you reached out to our support team using the link provided earlier? ^PS",Return / Refund,
2864793,2,"CUSTOMER: Time to track my @115821 package that was apparently delivered but is nowhere in sight. What a riveting afternoon 🙄

AMAZON: @795710 We'd like to help. Here are some steps to try in situation like these: https://t.co/EJ4zoTByUI ^GG",Damaged / Wrong / Missing Item,
849795,4,"CUSTOMER: @AmazonHelp reporting bug. Had reoccurring trouble canceling two items simultaneously in smile.amazon. Had to do separately.

AMAZON: @321922 I understand how frustrating this can be! Allow us to take a closer look at the account with you here: https://t.co/hApLpMlfHN ^QJ

CUSTOMER: @AmazonHelp Thank you!

AMAZON: @321922 You're Welcome, Kara! Let us know if there is anything else we can do for you!^HM",Order Management,
2238097,2,"CUSTOMER: Dear @115850, with a collection so pathetic how do you plan to compete? Found 0 out of 10 movies searched for

AMAZON: @652634 Sorry you couldn't find what you were looking for. We keep adding new content regularly, stay tuned for updates. ^MS",Digital Content,
