root_tweet_id,thread_size,conversation,pseudo_intent,human_label
2732442,4,"CUSTOMER: @AmazonHelp そうなんですか、承知しました。

AMAZON: @765923 ご確認いただいても、ご不明な場合には、カスタマーサービスでご案内させていただきます。ご遠慮なく、下記URLよりご連絡ください。https://t.co/bwBU0NvYIn TY

CUSTOMER: Amazonでこのマイバチ8日前から注文してて配達状況を確認しに見にいったら注文履歴に記載されてなくて
自分は(はっ！？詐欺かな？)って思ってるんだけど、どうゆう事ですかこれェ？？ https://t.co/JRDmkroNp6

AMAZON: @765923 注文履歴に商品がない場合、何らかの理由でご注文がキャンセルになっている可能性がございます。注文に関するお知らせはEメールをご確認ください。Eメールが届いていない場合、アカウントサービス＞メッセージセンターでご確認いただけます。https://t.co/T4O8Kak3dh TY",Other / Unclear,Other / Unclear
2840319,2,"CUSTOMER: Hey, @115830 How come all deliveries are estimated at three days (Thurs 30th Nov) for Amazon Prime members? Or is this a glitch with my acc?

AMAZON: @790397 Hi Kimberly, the selected shipping speed refers to transit time, in business days, once shipped. We do our best to ship things out as soon as possible.  If the order does not arrive by the date shown when the order was placed please let us know.  ^CH",Delivery Issue,Delivery Issue
1953565,4,"CUSTOMER: @115850 @119625 #do u #care to #respond ??? #patheticservice #totally #unhappy with ur services #prime is a #SCAM

AMAZON: @579971 We've responded to you here :https://t.co/FwOpnTnhd6. Request you to check the correspondence and reply for further assistance. ^PR

CUSTOMER: @AmazonHelp #so what is the solution to this????

AMAZON: @579971 We have already forwarded the details to the concerned team and they are right on it! Request you to wait till the revised delivery date. ^PR",Delivery Issue,Delivery Issue
2514235,3,"CUSTOMER: @115821 Order ID : 408-6262790-4122723 as shown while ordering should have to be delivered by today. But after ordering its 3rd Oct Why So

AMAZON: @716390 Could you please confirm the estimated delivery date of the order? ^SA

AMAZON: @716390 Also, please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^SA",Delivery Issue,Delivery Issue
2586296,2,"CUSTOMER: Can someone tell me how @115828  prime shipping is getting me Ultra Moon on Tuesday :/

AMAZON: @197686 Hi there! Has the delivery date changed from your confirmation e-mail? Prime shipping refers to transit time, in business days, once the order has shipped. More here: https://t.co/DZClPqA80l ^KL",Delivery Issue,Delivery Issue
1172208,4,"CUSTOMER: @115850 Order  no 171-7293695-7325122 another product not delivered. I think that's it.

AMAZON: @395721 Apologies for the trouble with the delivery of your order. I'd like to take a closer look. 1/3 ^HD

AMAZON: @395721 Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you.  2/3 ^HD

AMAZON: @395721 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 3/3 ^HD",Delivery Issue,Delivery Issue
2673923,2,"CUSTOMER: @115850 why was my Audible membership refreshed without my consent or prioir notification? There is no support for Audible in India how do I register a complaint? Customer service execs clueless
#unethical #poor #scam

AMAZON: @121046 Sorry about the trouble with your Audible. We'd like to help, kindly share your details here: https://t.co/GIJyeYqKE0 ^MA",Prime Membership,Prime Membership
2937399,4,"CUSTOMER: @AmazonHelp I made an order last Thursday for prime next day delivery, and my order is still yet to be delivered???

AMAZON: @811996 I'm sorry you don't have your order yet! We'd like to help! What does the current tracking show for your order? You can view it here: https://t.co/Y5jpI9gRhE ^TK

CUSTOMER: @AmazonHelp It says no orders found?

AMAZON: @811996 Thank you for clarifying, Kristy! Please reach out to us here: https://t.co/hApLpMlfHN so we can look into this together. ^SC",Delivery Issue,Delivery Issue
613997,2,"CUSTOMER: Amazonの prime now届いたー！
多12時58分に頼んで13時31分出荷、15時13分に受け取りました。ありがたい！わたしは市内住みでは無いのでセンターから10㌔以上離れていますがこの迅速さ。配達の方も礼儀正しくて好印象でした。また急ぎたい時におねがいします。 https://t.co/HBs0H21xwU

AMAZON: @203475 Prime Nowをご利用いただき、ありがとうございました！またお役に立てれば嬉しいです( *´艸｀) EK",Delivery Issue,Prime Membership
1159251,2,"CUSTOMER: this is so well hidden wow no one would ever suspect a thing @115821 https://t.co/WdhHEW5Mms

AMAZON: @392710 Oh no! If you have a free moment, would you mind reaching out to us here so that we can get courier feedback for this order: https://t.co/JzP7hlA23B ^SM",Order Management,Order Management
2723383,2,"CUSTOMER: Fire TV買ったー https://t.co/hn8WwFBomd

AMAZON: @763961 |´-`)ﾁﾗｯ　Fire TV をお買い求めいただきありがとうございます！末永くご愛用いただければ幸いです🙇‍♀️ HM",Other / Unclear,Other / Unclear
1004594,2,"CUSTOMER: It REALLY annoys me that each and every time I order something from Amazon prime and USPS is the carrier, they NEVER deliver my items on time!

AMAZON: @357780 I'm very sorry for this inconvenience. We'd like to look into this with you. Please reach out to us with more details here: https://t.co/hApLpMlfHN ^RB",Delivery Issue,Order Management
902301,4,"CUSTOMER: I don't know what has happened but my @115821 Fire stick has gotten so slow and buggy about 2 updates ago. So frustrating!

AMAZON: @334209 I'm sorry the Fire Stick is giving you trouble! Have you tried these steps: https://t.co/ME5zpqbK3h? ^EP

CUSTOMER: @AmazonHelp Yes we have. It is super slow to load anything and bails out of opening anything about 25% of the time.

AMAZON: @334209 We'd like to do some live troubleshooting! Please get in touch with us by phone or chat here: https://t.co/hApLpMlfHN ^KJ",Product / Device Support,Product / Device Support
2401321,6,"CUSTOMER: @AmazonHelp I bought 499 rs amazon gv from zeta app if I bought membership through this gv will I get 250 cb ?

AMAZON: @690906 Yes, you definitely would get Rs.250 cashback within 45 days of your first video streaming, into your Amazon account. ^VM

CUSTOMER: @AmazonHelp I bought membership in 2 Oct 2017 my order no 408-8671617-3711546 after 45 days no CB yet !

AMAZON: @690906 Are you referring to any cash back, Suraj? If yes, please contact our support team here: https://t.co/vlvfJr4nN9 so that we can check. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^NK

CUSTOMER: @AmazonHelp What the hell is going on ! After 60 days no 250 CB by amazon  
Amazon giving false promise to their customers I already complaint this issue in consumer forum.

AMAZON: @690906 That's odd! Let us take a closer look at this. Please provide your details here: https://t.co/beaaDm0muc &amp; we'll get this sorted for you. ^SF",Account / Access / Security,Account / Access / Security
351690,6,"CUSTOMER: @AmazonHelp I was told I would be contacted within 2-4 business days about an issue with a preorder last week, why hasn’t this happened?

AMAZON: @199654 Apologies Laura. When in touch, were you advised via email that somebody would follow up? ^TP

CUSTOMER: @AmazonHelp Scrap that 30th September when I sent the original email

AMAZON: @199654 Sorry to hear that, please reach out to us here: https://t.co/JzP7hlA23B by phone or chat for instant support ^AS

CUSTOMER: @AmazonHelp I have sent another email, if I don’t hear back I’ll reach out by phone

AMAZON: @199654 Please keep us posted! ^LB",Account / Access / Security,Account / Access / Security
2317390,2,"CUSTOMER: .@115821 @115850 request you to not use @120169 couriers for deliveries - it's been five days since dox submitted, but shipment not cleared from customs as yet. #Aramex is the most inefficient courier company.

AMAZON: @671878 Apologies for the trouble. I've passed on your feedback to the relevant team internally to ensure such instances aren't repeated in the future. Also, kindly have this reported to our support team here: https://t.co/vlvfJr4nN9 we'll have this checked right away. ^EM",Other / Unclear,Delivery Issue
1098730,4,"CUSTOMER: @115850 2 diff.xchnge prices 4 the same phone! 1plus-8300 Nokia8-4320 even if nokia8 is costlier than 1plus! Weird logic!! https://t.co/DkvSlvMlwl

AMAZON: @379270 The exchange price offered depends on the sellers and the website is updated accordingly. I just checked the image 1/3 ^GK

AMAZON: @379270 and I see that the exchange price appears to be offered by two different sellers for the item. The exchange value you 2/3 ^GK

AMAZON: @379270 see at the check-out is the best the seller could provide in that particular area. 3/3 ^GK",Payment / Billing,Payment / Billing
1411595,2,"CUSTOMER: @115821 what are you teaching my 8 yr old? #Alexa #mathisnthard https://t.co/oap8ZT3CnZ

AMAZON: @448081 That's odd! We are always looking for ways to improve, please submit this feedback via the Alexa app ^HM",Product / Device Support,Product / Device Support
1622306,2,"CUSTOMER: アマゾンで商品買って届かないって事あるの、、いくら海外発送とはいえ、、摂津のピアス、、、アア、、

AMAZON: @497047 ご心配をおかけしております。出品者が販売・発送する商品をご注文とお察しします。お届け予定日を過ぎても未着の場合、こちらのURLを参照の上、出品者へお問合せ下さい。 https://t.co/ZXCXcbN3Tv EK",Other / Unclear,Other / Unclear
205196,2,"CUSTOMER: Amazonプライムで映画見てるなう

AMAZON: @164608 ブライムビデオを、お楽しみいただけているようで、何よりです！！
ごゆっくり、お楽しみくださいませ～（＾ω＾）TY",Other / Unclear,Other / Unclear
954118,2,"CUSTOMER: Acabo de comprar algo en @116875 y me lo entregan mañana.

Esas cosas ya me dan miedo.

AMAZON: @346394 Aquí estamos entrenando para entregarte tu pedido, Partin 😉 ^LG https://t.co/L2vWd2AbvP",Other / Unclear,Other / Unclear
486767,2,"CUSTOMER: Really @115821 .. giving me false tracking information?! Smh

AMAZON: @230823 That doesn't sound right! Will you tell us more about what's going on? Please don't give order or account information. ^CS",Account / Access / Security,Account / Access / Security
1163729,4,"CUSTOMER: The wrong package again @115821

AMAZON: @302791 I'm sorry you received the wrong package! Pls reach out to us here: https://t.co/hApLpMlfHN so we can look into this. ^KH

CUSTOMER: @AmazonHelp Iv done this it's the 3rd time it won't let me return again this is ridiculous

AMAZON: @302791 We're here to help! Have you had the chance to speak with us via phone/chat to address this? Please, let us know! ^JE",Return / Refund,Return / Refund
2858060,2,"CUSTOMER: What will it take for @115821 to stop storing my credit card info by default and adding charges to it???????? 😖😠😡🤬

AMAZON: @345090 I understand your concern, Chris. Without disclosing your personal information, will you tell us more about the issue you're experiencing? Are you experiencing an unknown charge? ^SK",Payment / Billing,Payment / Billing
362475,3,"CUSTOMER: @4249 is the only one who has the prowess to book every single lightning/ flash deal on @115850 
I did not get any deal 😭😭

AMAZON: @201850 https://t.co/kKRZkO9eW0 to know more about these deals. 2/2 ^NK

AMAZON: @201850 Sorry to hear that. Lightning Deals are short-time offers which are valid for 15 min only. You may refer this link: 1/2 ^NK",Digital Content,Digital Content
727833,2,"CUSTOMER: amazonがサボテンミュージアムをおすすめしてくるんだけど、アタシamazonで買いましたよね？

AMAZON: @294366 既にご購入済みの商品をおすすめしているとのこと、失礼しております。おすすめ商品のご案内について、精度をあげるよう努めてまいります。なお、「おすすめ商品を絞り込む」機能もご活用いただければと存じます。https://t.co/XN553AUa9E RI",Other / Unclear,Other / Unclear
661443,2,"CUSTOMER: It's cool @AmazonHelp, that cooking equipment I bought for Thanksgiving didn't need to come. Thanks for giving it to some random person.

AMAZON: @277601 I'm sorry your package didn't arrive as planned. Please check here for more information on locating missing packages: https://t.co/vwdxDBwXUx Let us know if you need additional assistance with this order, we'll be here to help if possible! ^EA",Delivery Issue,Delivery Issue
1780183,8,"CUSTOMER: My efforts to get ahead for Xmas are thwarted by @115830 #courierfail #customerservicefail

AMAZON: @534847 This isn't what we want to hear! So we can look into this with you, please click here: https://t.co/JzP7hlA23B ^JA

CUSTOMER: @AmazonHelp Tried that. A waste of time. Apparently the courier is more reliable than the customer who was out at the “delivery” time.

AMAZON: @534847 What information or options were presented when you contacted us? We would like to help. ^ST

CUSTOMER: @AmazonHelp It may have been delivered but as it’s a block of flats I don’t know to whom and the web site is saying the courier handed them to me.

AMAZON: @534847 I'd recommend these steps: https://t.co/BD96XaoFpr If still missing in 36 hours, contact us: https://t.co/qy3J24VGxb ^AF

CUSTOMER: @AmazonHelp Maybe your customer service should have said that rather than telling me it’s been delivered when it clearly hasn’t !!!

AMAZON: @534847 I'm sorry to hear of this experience. Feedback left in the e-mail sent post call/chat goes directly to the rep's leadership. ^JE",Delivery Issue,Delivery Issue
2216623,2,"CUSTOMER: @AmazonHelp I presume this is spam? Worrying that it has my full address on?! https://t.co/RDnwH8cDtm

AMAZON: @447696 Hey, it doesn't look like us but contact us here: https://t.co/hApLpMlfHN and we'll check it out further ^AS",Other / Unclear,Other / Unclear
1731493,4,"CUSTOMER: @115850 why everyone getting this msges - Amazon.in Gift Card (GC ID: __credit_card__) added to your Amazon Pay balance expires 1/2

AMAZON: @205814 Apologies for the trouble with the gift card, Prakash. We'd like to look into this. 1/2 ^HD

AMAZON: @205814 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. (2/2) ^HD

AMAZON: @205814 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD",Payment / Billing,Payment / Billing
1097715,4,"CUSTOMER: Wait! It isnt my order #catstagram #chartreux @116875 https://t.co/j0uoYAn7wa

AMAZON: @379036 How cute! 😍 What's its name? 🐱 ^JQ

CUSTOMER: @AmazonHelp Grisby 🐈❤️ https://t.co/fFmczx6BMi

AMAZON: @379036 So cute! 😊 Please give it a big hug! ❤️ ^JQ",Damaged / Wrong / Missing Item,Order Management
1707986,4,"CUSTOMER: Acabo de recibir el premio al mejor disfraz de Halloween en mi trabajo!! #Halloween2017 @116928 / Disfraz de sumozombie super-amortizado https://t.co/yME7ELpWOR

AMAZON: @517571 Hola Jose. 😱 ¡Felicidades!🎃 Ya pensaste, ¿qué vas a comprar con el? ^HC

CUSTOMER: @AmazonHelp Aun no, pero creo que me esperare al #Blackfriday, Una duda tienen fecha de caducidad las tarjetas regalo?

AMAZON: @517571 Jose, en el siguiente enlace: https://t.co/lqY9pLxu6B, podrás ver la información solicitada. ^VM",Other / Unclear,Other / Unclear
2170858,2,"CUSTOMER: @AmazonHelp are you guys gonna time travel to yesterday to deliver my package on time? I haven’t had any update on what’s going on here https://t.co/SSofcRwmDa

AMAZON: @210319 I'm sorry about the delay! Please reach out to us via phone/chat here: https://t.co/hApLpMlfHN and we can help. ^TK",Other / Unclear,Other / Unclear
2420716,3,"CUSTOMER: Exceptional service by @115850  returns team. Plz express my sincere thanks to Mr Sanjay,Mubashshir &amp; team for request 408-8553318-8642713

AMAZON: @695367 Thank you for the feedback! I'll be certain to pass this on internally. Also, please do not provide your order details ^PB (1/2)

AMAZON: @695367 as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2)",Return / Refund,Return / Refund
132376,2,"CUSTOMER: Amazon prime will be the death of my bank account

AMAZON: @145864 Hey Leo! Don't worry about it, at least you're gonna have some. Awesome stuff! 👊 ^JC",Delivery Issue,Payment / Billing
1366147,4,"CUSTOMER: For the 100th time stop leaving deliveries in the bin @115830 in an open garden that can be seen from the street. Not secure 😠 https://t.co/iwHUBxGPux

AMAZON: @438027 Hi, I'm very sorry to hear this. Do you have a preferred safe place set up on your delivery address? https://t.co/NSneA9fHU9 ^KK

CUSTOMER: @AmazonHelp @438027 Don’t think it matters, leaving it in the bin is never acceptable. Your drivers really need retraining.

AMAZON: @438029 Jessica, I'm really sorry to hear this hasn't been resolved. Have you reached out to our phone/chat support to let them know the issue? If not, you can reach out to us here: https://t.co/JzP7hlA23B ^SY",Delivery Issue,Delivery Issue
466708,8,"CUSTOMER: @115850 valling amazon n talking with cce is next to impossible - so bad customer responsiveness

AMAZON: @226072 Sorry to know that your recent experience wasn't on par with your expectation, Avik. We'd like to help you with your concern. Could you please let us know what went wrong? ^SY

CUSTOMER: @AmazonHelp I ordered over 1500 in Amazon Pantry - still ur website is charging deliver charge! And I can't see my full list of orders- for pantry the experience is BAD

AMAZON: @226072 I'd like to have a closer look at the issue. Please share your details in this link here: https://t.co/GIJyeYqKE0 and we'll reach out to you with an update. ^KA

CUSTOMER: @AmazonHelp give the required information -pl do the needful

AMAZON: @226072 We have received the details. We will get back to you with an update at the earliest. ^HR

CUSTOMER: @AmazonHelp thanks you - sorry to say here I'm expecting little bit speedy reply as Pantry related things are little bit urgent and I can't wait for too long :-(

AMAZON: @226072 We'll certainly work on resolving the concern at the earliest. We'll reach out to you with an update soon. ^AP",Damaged / Wrong / Missing Item,Damaged / Wrong / Missing Item
2278366,2,"CUSTOMER: Thanks for leaving my parcel out in the heavy rain, @AmazonHelp @115830 nothing like a soggy birthday book... https://t.co/aBewQA2NBm

AMAZON: @662462 Oh no! This isn't the level of service that we expect our customers to receive. We want to make this right! Please contact us via phone or chat at the following link so we can discuss available options with you: https://t.co/JzP7hlA23B ^MW",Digital Content,Digital Content
2890549,4,"CUSTOMER: Really fed up of @115830 now, awful service for the last 2-3 months, just keeps getting worse. Constantly told one thing, then another happens, then 'sorry' and it still continues. I think our Amazon days will soon be over at this rate. The amount of hours on the phone- unreal!

AMAZON: @467643 Hello Ashleigh, without providing any personal info/account details, could you please explain the issue you are facing? ^BD

CUSTOMER: @AmazonHelp Wrong items sent multiple times, damaged items, drivers not even knocking on door, cut off on the phone twice, unauthorised payments, told incorrect information multiple times on phone, advised to discard of broken item-then attempted to be charged for it. Never used to be as bad

AMAZON: @467643 I'm terribly sorry for the poor experience, Ashleigh! We certainly don't expect this to happen. We're not able to view your account via Twitter. However, please allow us another opportunity to look into this further with you here: https://t.co/JzP7hlA23B ^AB",Payment / Billing,Payment / Billing
1588075,2,"CUSTOMER: Quiero revivir mi viejo @117634. ¿Algún experto en la sala? 
Desde ya que hice lo que dice en la pantalla, pero no hubo caso. ¿Ideas? https://t.co/Wlotmn2LgM

AMAZON: @488430 Hola Pablo. Por favor contacta a nuestros especialistas en Servicio al Cliente por este enlace: https://t.co/eJXKURvpr8 ^JJ",Other / Unclear,Other / Unclear
2748287,2,"CUSTOMER: @115830 extremely peeved! Pre-ordered the signed DanTDM tour dvd on 31/08. My boys expected it today but no - 2 very sad boys tonight 😡

AMAZON: @769528 Anna, I'm sorry to hear your boys are heartbroken. This what definitely not our intent. Did you receive updated shipping information via email regarding an expected delivery date? You can confirm here: https://t.co/aaDyEz1VgE ^SY",Damaged / Wrong / Missing Item,Damaged / Wrong / Missing Item
2211821,2,"CUSTOMER: @115830 On Drive, is there a way to find the things you're classing as files, not photos. Can't work out why I'm over quota.

AMAZON: @167148 We can certainly look into that for you! Reach out to us directly via the following link: https://t.co/JzP7hlA23B ^KI",Other / Unclear,Other / Unclear
1234075,2,"CUSTOMER: If my @115821 account gets closed by @115821, how do you find contact info to ask WTF?

AMAZON: @123026 I'm sorry to hear about your account! You can contact us directly without signing in here: https://t.co/V0GYmmXQcy ^ME",Account / Access / Security,Account / Access / Security
588796,2,"CUSTOMER: Io amo ❤️ @120540 ❤️ anche perché il suo stile di vendita è fatto di tanta ironia 😘 Cercavo forbici per gamberetti 🍤 🍤 🍤 🍤 e... vabbè, già le emoji, con quella forma, parlano chiaro... Così come l’item description. Sexy 😍 https://t.co/XDGs2B2w5c

AMAZON: @259161 Grazie per la segnalazione! L'abbiamo inoltrata al nostro Team competente. ^AP",Other / Unclear,Other / Unclear
2500688,2,"CUSTOMER: @115821 pretty sure it's illegal to charge me for a prime membership without my consent so thanks for that little episode today 🙂

AMAZON: @713394 I'm sorry for any inconvenience this may have caused, Alexis! Just to clarify, were you able to cancel the membership and request a refund? https://t.co/hmUsKHkYBh. ^AL",Delivery Issue,Return / Refund
442937,5,"CUSTOMER: Why are @AmazonHelp being so useless? And when I message them on their online chat they just palm you off because they’re not bothered. So annoyed! 😡

AMAZON: @219982 Sorry to hear about the trouble you are having, Dan. Without providing us any personal information, would you be able to elaborate a bit further on the issue? ^SM

AMAZON: @219982 Sorry to hear about the trouble you are having, Dan. Without providing us any personal information would you be able to elaborate a bit further on the issue? ^SM

CUSTOMER: @AmazonHelp Well I ordered an Xbox last Friday. Told it was supposed to arrive yesterday but it didn’t. Now I have to wait until Saturday for it to be delivered although if I order an Xbox now, I can get it by tomorrow? Why is mine taking so long?

AMAZON: @219982 I'm sorry to hear this. Did you receive an email letting you know why it has been delayed? ^KI",Delivery Issue,Delivery Issue
1821643,2,"CUSTOMER: I’m locked out of my @115821  account and apparently can’t get help unless I sign in. Seriously? What am I supposed to do???

AMAZON: @546854 I'm sorry for the account troubles. Please contact us here: https://t.co/jzvkhdlrK5 ^RR",Account / Access / Security,Account / Access / Security
676933,2,"CUSTOMER: Amazon prime student 有料会員になってしまった
腐敗生活が始まる

AMAZON: @281480 ∑(;ﾟ∇ﾟ)腐敗生活...! 
ぜひ堪能してくださいませ！😊 YM",Delivery Issue,Prime Membership
231456,4,"CUSTOMER: @AmazonHelp Haven't received any

AMAZON: @171125 I'm sorry about that, write to us here: https://t.co/GIJyeYqKE0 &amp; we'll be glad to help you with available options. ^MJ

CUSTOMER: @115850 - have written one mail. Request you to respond, as its urgent https://t.co/ZWu0SOIk3y

AMAZON: @171125 You would receive a reply soon. However, for immediate assistance please connect with our chat or phone support team. ^KA",Other / Unclear,Other / Unclear
96839,6,"CUSTOMER: @115821 @AmazonHelp How do i get in contact with Amazon Logistics? The App is not working. No dropdown menu. No options. It signs in to a frozen screen. Uninstalled Reinstalled. Deleted Data &amp; cache. Nothing is working. #AmazonFlex

AMAZON: @137137 Sorry to hear that, Mayra. Are you able to access the app from an alternative device?^TI

CUSTOMER: @AmazonHelp Other than my work computer and my personal cell phone, no, I am not.

AMAZON: @137137 Please contact us here so we can explore options together, Mayra:  https://t.co/hApLpMlfHN ^SA

CUSTOMER: @AmazonHelp I've already contacted amazonflex-support. 22 &amp; counting emails to be exact. No one has been able to give me any resolution. Can i go to the Springfield, VA warehouse for help?

AMAZON: @137137 I'm very sorry for the inconvenience. Please take a moment to provide the details of your issue here, https://t.co/tbCFtSxDjB  We will reach out to you for a resolution. ^SP",Account / Access / Security,Account / Access / Security
1736192,8,"CUSTOMER: @AmazonHelp still awaiting for order to dispatch and have been told by amazon helpers that it will be with me today. Not convinced!!

AMAZON: @524185 Hi, have you received an email with conflicting info? If not, we'd expect delivery to happen as scheduled. ^TS

CUSTOMER: @AmazonHelp Even if it’s still not despatched? Order screen still says okay for today but being stuck in dispatching soon for last 24hrs

AMAZON: @524185 It's not uncommon for items to dispatch the same day they are delivered. Let us know if you don't receive it by 21:00 today. ^AL

CUSTOMER: @AmazonHelp Now confirmed that it’s not coming today after speaking to another advisor, very poor

AMAZON: @524185 I'm sorry, James! What was advised by the advisor when you spoke with us last? Keep us posted! ^FR

CUSTOMER: @AmazonHelp That’s explained the situation?

AMAZON: @524185 What options were provided by the adviser when you last spoke with them? We are here to help! ^BA",Delivery Issue,Delivery Issue
2521767,2,"CUSTOMER: @116928 ¿cuando me vendría este artículo que no me lo dice??   https://t.co/QWqbkAXKhD Gracias

AMAZON: @718241 Hola Pedro, te comentamos que la fecha de entrega de un producto dependerá de su disponibilidad y además de la dirección de entrega que indiques para el pedido. Puedes verificar más información en este enlace: https://t.co/UHfEOB7Obn. ^MZ",Product / Device Support,Product / Device Support
