root_tweet_id,conversation,pseudo_intent
1326955,"CUSTOMER: @117086 O cupom panini10 não está mais funcionando? estou fazendo uma compra com vários quadrinhos mas tem outros materiais que não são da panini.

AMAZON: @144472 Olá, Scott! Você poderia nos fornecer mais informações sobre como você ganhou o cupom?. ^NB

CUSTOMER: @AmazonHelp O cupom é PANINI10, ontem comprei quadrinhos por este código. Não está mais válido?

AMAZON: @144472 A promoção era Relâmpago Scott? ^JJ

CUSTOMER: @AmazonHelp Só se aplicam em quadrinhos em promoção relâmpago? Desde já agradeço pela compreensão

AMAZON: @144472 Por gentileza entre em contato com o nosso Serviço de Atendimento no seguinte link Scott: https://t.co/ouAOLcNWp4 ^JJ",Promotion / Gift Card / Credit
2446302,"CUSTOMER: @121284 Still waiting but no one came....even no response this is what fucking service .

AMAZON: @701315 Sorry for the trouble you've faced so far with the delivery of your order, certainly not intended. I'd like to take a closer look into this, please share your details on the link here:  https://t.co/GIJyeYqKE0. I'll get back to you soon. ^PS

CUSTOMER: @121284 what the fuck I ordered Casio watch but I got some other watch..this is fraud...

AMAZON: @701315 I’m sorry about this experience, Mahtab.  Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^MK

CUSTOMER: @AmazonHelp Kindly do smthing

AMAZON: @701315 Please connect with us from the link provided earlier so that we can assist you further regarding your issue. ^NR",Damaged / Wrong / Missing Item
412298,"CUSTOMER: HEY @118721 and @115821 I’ve been getting charged DOUBLE for THE SAME @13773 account....... #imapoorstudent #fixthisplease https://t.co/T4HQU0SsPs

AMAZON: @213374 I'm sorry to hear this. We're happy to look into all available options here: https://t.co/hApLpMlfHN ^LI",Payment / Billing
436393,"CUSTOMER: @AmazonHelp will the status go back to Friday 13th if I change it to one day delivery cause on standard delivery it says Saturday 14th

AMAZON: @217820 Please reach out to us here: https://t.co/JzP7hlA23B for more options and information about changing your shipping speed. ^TK",Delivery Issue
999149,"CUSTOMER: @115850 I am a prime member but I don't get my product in 2-3 days.

AMAZON: @356583 Prime offers free shipping for Prime eligible order. The availability of expedite shipping depends on the pincode. (1/2)

AMAZON: @356583 You may refer here: https://t.co/piBzHBsqgo  for the benefits provided for Prime membership. ^SG(2/2)",Prime Membership
1573552,"CUSTOMER: @115821 order no - 404-8924729-6533111 I received the defective product but your replacement procedure is more frustrating and irritating

AMAZON: @484862 I am so sorry to know about the experience. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^MP 1/2

AMAZON: @484862 Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public. ^MP 2/2",Damaged / Wrong / Missing Item
133637,"CUSTOMER: Hi @115850, I have purchased iPhone during Great Indian Sale- Aug 2017 using SBI Credit card and should have received Rs1500 cash back by 12th Nov, but still I haven't received it. Please check and let me know the status. email: __email__

AMAZON: @146126 I'm sorry for the delay Bharath. Did you inform about this to our customer service team here: https://t.co/vlvfJr4nN9. ^SI

CUSTOMER: @AmazonHelp Nope, I couldn't get the customer service contact details. and now I contacted them and waiting for the response.

AMAZON: @146126 Thank you for the confirmation. Do let us know if there is any further concern. We'd be happy to assist you. ^AM",Promotion / Gift Card / Credit
2166120,"CUSTOMER: @115830 what do I do if my package is 10 days late? Bought through third party

AMAZON: @635747 Hi Chris! Did you contact the seller? https://t.co/GJA7cU2nmT. ^CN

CUSTOMER: @AmazonHelp Yes I’m waiting for a reply. They’ve marked it as dispatched but when I look on Royal Mail tracker it says they’re waiting for it

AMAZON: @635747 Hey, Chris! We would like to look into this with you. Do you mind contacting us using the following link:  https://t.co/JzP7hlA23B. ^DY

CUSTOMER: @AmazonHelp Thanks. Just sent an email

AMAZON: @635747 Awesome, please keep us updated on your communication. We should respond within the next 24 hours. ^MH",Delivery Issue
689516,"CUSTOMER: Sir, I have faced this issue about the 100th time now, I order for a book and then after a couple of days I get a msg saying - order was refused by the customer or order delayed on customer request. Ultimately I dnt get the book. That's not done! @AmazonHelp

AMAZON: @284764 This is really unusual. Kindly report this to our support team here https://t.co/CNHA4voaWH and we'll help you out with the delivery status. ^VM",Order Management
2137871,"CUSTOMER: @AmazonHelp Subscribe and Save feedback: just cancelled an item because I can't have different items scheduled to be delivered on different dates.

AMAZON: @142554 We're always looking to improve! Please reach out to us to provide your feedback: https://t.co/hApLpMlfHN ^JP

CUSTOMER: @AmazonHelp Thanks 😁 Have you got a link for UK feedback?

AMAZON: @142554 Absolutely! Sorry for the mix-up! Here you go: https://t.co/JzP7hlA23B ^WT",Order Management
49121,"CUSTOMER: I liked a @126972 video https://t.co/1leptFk24J How to Register &amp; Activate Amazon India seller account and Shipping setup guide for

AMAZON: @126971 I get your interest in becoming a seller, Deepak. Please refer here: https://t.co/ButnZvHMJh for info to become a seller. ^SV",Other / Unclear
10645,"CUSTOMER: @AmazonHelp did amazon get hacked?

AMAZON: @117949 We'd like to help! Have you noticed any unauthorized activity on your account? ^VB",Account / Access / Security
2059487,"CUSTOMER: When you think @AmazonHelp fixed a delivery issue but it still happens. https://t.co/aOm1abAkXc

AMAZON: @609090 Could you provide us with a few details about the issue without personal info? We'd like to help any way we can! ^WM",Delivery Issue
277139,"CUSTOMER: @115830 ur customer services and refund policy is diabolical so angry if it wernt for a  gift voucher i wudnt order from u again.

AMAZON: @182218 Sorry to hear this Craig. W/o posting personal info, are you able to elaborate on the issue itself? ^PK

CUSTOMER: @AmazonHelp Yeah i ordered a car stereo and tv box damaged. 

Now stereo replacement is £45 more

AMAZON: @182218 We'll always offer a replacement if it's available. It's likely that we're out of stock and a seller has it at £45 more. ^RL

CUSTOMER: @AmazonHelp You take the money instantly why cant u put it back straight away..

Wheres the compensation

AMAZON: @182218 We refund immediately, it takes some time for it to process through the banks. ^RL

CUSTOMER: @AmazonHelp Ive bin told up to 24 hours.

I need to order replacement now

AMAZON: @182218 Is the refund being issued as a gift voucher or back to your payment card? ^LB

CUSTOMER: @AmazonHelp It has been refunded now to my amazon account

AMAZON: @182218 That's great! Let us know if there's anything else we can help you with! ^KP",Return / Refund
787214,"CUSTOMER: When @126705 deliver your @115821 parcel and it’s soaking!! 😠

AMAZON: @307778 Sorry to hear that, are the items ok? If not, have you checked the options here: http:https://t.co/5RcjVPJgUP? ^JJ

CUSTOMER: @AmazonHelp The items soakin and full of condensation and there’s barely any noise coming from the mic I’ve requested a return but it takes up to 2 days

AMAZON: @307778 Just to confirm- what takes up to 2days? ^NV

CUSTOMER: @AmazonHelp To get a returns label it says 🤔

AMAZON: @307778 You can go through the return process here and can print a return label https://t.co/7OVAhc1a6c ^KM

CUSTOMER: @AmazonHelp  https://t.co/6DRLcSPKit

AMAZON: @307778 Apologies, we weren't aware that the order was via a 3rd Party Seller, please keep us updated. ^JJ",Damaged / Wrong / Missing Item
2974824,"CUSTOMER: @AmazonHelp @115821 second day my two day delivery package has been out for delivery and not delivered. This is becoming more frequent with my prime orders. Don’t lead customers to believe it will be there in two days if it’s not....I needed these items yesterday!!!

AMAZON: @261401 I'm sorry for the inconvenience, Ashley! Have we missed the estimated delivery date provided in your order confirmation e-mail? Who is the carrier assigned to your package? ^LA

CUSTOMER: @AmazonHelp It was to be delivered Tuesday the 28th. UPS is the carrier. Two days now it has been marked out for delivery with no delivery.

AMAZON: @261401 Thank you for letting us know. I understand how frustrating this is. We'd like to take a further look into your delivery but are unable to access your Amazon account through Twitter. Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^LR",Delivery Issue
1865125,"CUSTOMER: @115850 multiple complaints put for phone.pick-up getting rescheduled and cancelled repeatedly.pls help urgently. #OnePlus5

AMAZON: @557231 That's unusual. Please report this here: https://t.co/vlvfJr4nN9 and we'll look into it right away. ^HK",Return / Refund
2519264,"CUSTOMER: @115821 Can u plz help me get a refund-item not rcvd and fake I do not want Amazon cust svc 1st sd I am entitled to refund, 2nd cust svc sd I had to wait #AmazonPlzHelp

AMAZON: @209590 I'm sorry for the trouble, Wendy! While we're not able to view order information via Twitter, we'd like to have a member of our team look into this for you. Please relay specifics using this secure link:  https://t.co/pjuQeQ1dp6 and we'll be in touch. ^KL",Return / Refund
2273296,"CUSTOMER: Can someone tell me what’s wrong with my @115821 review? It was rejected. It looks very similar to other reviews for these pants. 🤷‍♀️ #Amazon https://t.co/yvcRW8Y5mV

AMAZON: @661272 Please check the following page for information on the guidelines for reviews: https://t.co/ss18yNDuDa 
If you think we got it wrong, please e-mail __email__ and we will take another look. ^MW",Other / Unclear
1771821,"CUSTOMER: Lol. @115821 hiring these janky ass seasonal employees and they straight stole my package!

AMAZON: @532568 Oh, no! We'd like to take a closer look into this. Please provide order details here: https://t.co/SWu2qUzdRB ^DG",Damaged / Wrong / Missing Item
467428,"CUSTOMER: @115850 i have ordered Lenovo z2 plus on 27th of November . I am getting these messages from last day . I am calling to your helpline but https://t.co/ChhhRWN0RX

AMAZON: @226266 Apologies for the incorrect text messages about the order, Karan.  Please click on the link here: https://t.co/vlvfJr4nN9 &amp; follow the path: login or skip sign in &gt; Choose an option &gt; Choose Reason &gt; Choose Issue &gt; Choose the mode of contact phone, e-mail or chat.^SF",Order Management
1002555,"CUSTOMER: @115850 i ordered a product&amp; was to get 15% cashback on it within 72 hrs. But already 5 days hv passed didn't received a single penny

CUSTOMER: @115850 3 calls hv been made to customer care within last 3 days and all 3 days i am being assured of receiving the cashback on same day but....

AMAZON: @357312 Reach our support team and share your info here: https://t.co/vlvfJr4nN9, we'll update you. ^HT

AMAZON: @357312 Sorry for the stretch with the cashback. We'd like to help you, please share your details here: https://t.co/cQVomR1pWz. ^HA",Promotion / Gift Card / Credit
355584,"CUSTOMER: Putain je paie un compte premium @120533 (donc pas de frais de livraison) mais vu que j'habite en Italie maintenant je paie la livraison

AMAZON: @200476 Bonjour, afin de savoir plus concernant les adresses éligibles au premium, je vous prie de cliquer sur: https://t.co/szFteFBep1

AMAZON: @200476 Vous pouvez l'annuler immédiatement (avec remboursement) depuis votre compte via https://t.co/bI4OorNpkG ^FT

CUSTOMER: @AmazonHelp J'ai annulé ma commande en italie, mais elle m'a quand même été envoyée et débitée. Que dois-je faire ?

AMAZON: @200476 Bonjour, avez-vous passé votre commande sur Amazon.fr ou Amazon.it ? ^ARC

CUSTOMER: @AmazonHelp Les deux, puis j'ai supprimé celle sur amazon.it pour ne recevoir l'article qu'en France. Mais il m'a été envoyé 2x

AMAZON: @200476 Le mieux serait de contacter Amazon.it via ce lien  https://t.co/h0tsMhBneP ^SN

CUSTOMER: @AmazonHelp D'accord merci

AMAZON: @200476 À votre service. ^ARC",Order Management
2956041,"CUSTOMER: @115821 I realise that you’re hiring a bunch of noobs for the Xmas season, but that’s no excuse for them tossing my shit over the gate when they HAVE THE CODE!!! #laziness #breakables #GetItRight

AMAZON: @815978 Oh no! I'm so sorry to hear about this! Can you please let us know which carrier was assigned to deliver your package? You can find this under tracking information here: https://t.co/q4LAMZ3tbE ^JS

CUSTOMER: @AmazonHelp AMZL US with a TBA tracking number. The delivery driver(s) in the 77006 area are NOTORIOUS for this kind of stuff! Enough is enough already!

AMAZON: @815978 We want to make sure this is resolved for future deliveries. Please provide us with a few details so a member of my team can reach out to you. https://t.co/YIRD15dtem

-RD

CUSTOMER: @815978 @AmazonHelp At least you got your package. Mine was left in the mailroom. (hint: it's a private residence and I don't have a mailroom).

AMAZON: @703018 I'm sorry to hear about this! Was this issue already resolved? If not, we'd like to help! ^JS",Delivery Issue
2400081,"CUSTOMER: @115850 what is happening? 17th oct was estimated time of delivery. Today is 20th n still nt received. https://t.co/WkpokNT1Gu

AMAZON: @690599 I'm sorry about any delay in the delivery. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ? 1/2 ^MA

AMAZON: @690599 Please don’t provide the order details, we consider it to be personal info. Our Twitter page is visible to public. 2/2 ^MA

CUSTOMER: @AmazonHelp Forget the ethics of my personal info, help me out in this.

AMAZON: @690599 Please reach out to our support team Amit and we'll have a check on this. ^HN",Delivery Issue
1232103,"CUSTOMER: @359661 @AmazonHelp Don't go for #amazonpay cashback https://t.co/YIYH4jUMJH wont get what is advertised.I m struggling for 3 weeks now without resolution

AMAZON: @322303 We've responded to your concern here: https://t.co/PvyPnuSY6F ^BA

CUSTOMER: @115850 it's more than 48 hrs of cancellation,
But not received refund neither call from Amazon help,
#Amazonpay https://t.co/awDqh9XqhF

AMAZON: @359661 The product may take 5-7 days to return to our center, request you to wait till the same for refund. ^SQ

CUSTOMER: @AmazonHelp Is product was with me?
Why u sent my location after cancellation of 14 hrs?
You knew it I don't have any option for Amazon pay
#amazonpay https://t.co/S4pWaLbPpz

AMAZON: @359661 Please write back to the email you received from social media team. We'll check the details and get back to you. (1/2)^SQ

AMAZON: @359661 Please don't provide your order details as we consider it personal info. Our twitter page is visible to public. (2/2)^SQ

CUSTOMER: @AmazonHelp I'm waiting your reply from yesterday

AMAZON: @359661 As requested earlier reply to the email received from us and we shall get back to you. ^SH

CUSTOMER: @AmazonHelp Request time is over,
It's my Right to ask you for my money,
And same will share with public for your worst service,
#amazonpay

AMAZON: @359661 We'd like to help. However, kindly revert to the correspondence sent by the Social Media team &amp; we'll take it up further. ^EM

CUSTOMER: @AmazonHelp I need my money back, right now,
54 hrs completed  of cancellation,
Every tym ur executive said, it's policy,
where is policy now??

AMAZON: @359661 We understand there has been an inconvenience. However, for us to assist you better,(1/2) ^VM

AMAZON: @359661 please reach us via the link provided earlier and we'll reach out to you soon. (2/2) ^VM

CUSTOMER: @AmazonHelp Already told you that I filled that form earlier

AMAZON: @359661 For an instant update, I suggest you revert to the email sent by the Social Media team. ^EM

CUSTOMER: @AmazonHelp Dear Amazon,
Why you mentioned in given add that faster refund of Amazon pay balance Within 24 hrs???
#amazonpay https://t.co/PFUqx8aZtB

CUSTOMER: @AmazonHelp Still I'm not getting refund after 54 hrs,
#amazonpay https://t.co/iUREqr57Tf

AMAZON: @359661 You should have received a correspondence from social media team to your registered 1/2 ^MJ

AMAZON: @359661 I understand that waiting for the refund is tiresome. However, could you confirm if you've replied to our email? ^AP

AMAZON: @359661 email account, the resolution you are waiting for is already provided via email. Kindly check. 2/2 ^MJ

CUSTOMER: @AmazonHelp Please check,
But question is still that?
Why you not refund my amount in 24 hrs???
Why mentioned that, Amazon pay balance refund in 24 hrs https://t.co/AbJaMHvtKf

AMAZON: @359661 correspondence, write to us here: https://t.co/GIJyeYqKE0 &amp; we'll get back to you. 2/2 ^MJ

AMAZON: @359661 I'm sorry to see you upset with the resolution provided, this isn't social media 1/2 ^MJ

AMAZON: @359661 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ",Payment / Billing
1741788,"CUSTOMER: @AmazonHelp hello amazon..I think my detail yet not reached to you..rgt..

AMAZON: @175405 I'm sorry but we've not received your details, request you to fill the form using the link we've provided earlier. ^SK

CUSTOMER: @AmazonHelp U guys are mad..seriously

AMAZON: @175405 Please share your details here:https://t.co/beaaDm0muc and we’ll contact you soon. 2/2 ^RI

AMAZON: @175405 Apologies for the miss. We have not received your details. 1/2 ^RI",Other / Unclear
590037,"CUSTOMER: Shouting it from the rooftops - @115821 customer service SUCKS was already leery about online shopping .... forget you amazon.unreal

AMAZON: @259512 That's not the impression we want to leave you with, Michelle! Will you tell us more about what we help with? Please don't include personal or account specific information. ^CS",Other / Unclear
598007,"CUSTOMER: An @115821 delivery driver just pulled up blasting “All Eyez on Me” and is having a dance party while shuffling around packages. I 100% condone this behavior.

AMAZON: @261767 We aim to please! 😎 #AmbitionzAsADrivah ^KN",Other / Unclear
2570919,"CUSTOMER: @115850 hi i have downloaded the alexa app today but I'm unable to finish the installation! @AmazonHelp

AMAZON: @353698 I'm sorry to know that. Could you please let us know what error are you getting while installing the App? ^MK

CUSTOMER: @AmazonHelp First it loads for a minute and then it says language is not English India and it close. When the option of continuing with English US comes

AMAZON: @353698 Apologies for the ordeal Sujay. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN

CUSTOMER: @AmazonHelp Done!

AMAZON: @353698 Thank you. We'll check and get back to you with an update soon. ^NR",Product / Device Support
1493780,"CUSTOMER: Hauptsache @AmazonHelp schickt mein Paket offen los... https://t.co/Ud3rxUPS0t

AMAZON: @466877 Das sollte natürlich nicht sein. Ist der Inhalt denn heil geblieben? Liebe Grüße ^TA",Damaged / Wrong / Missing Item
839040,"CUSTOMER: @AmazonHelp sir I have ordered redmi 4 from my Amazon a/c 9646979861 and later cancelled it . 7 days passed but money not refunded. Help ..

AMAZON: @319635 I'm sorry but we never intended this, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. (1/2) ^SI

AMAZON: @319635 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public. (2/2) ^SI",Return / Refund
801660,"CUSTOMER: @117795 ....even after purchasing prime it's taking same time as standard delivery ...what's the benefit ? https://t.co/cBt73bg8lx

AMAZON: @311025 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN

AMAZON: @311025 Sorry for the hassle Mani. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this.1/2 ^HN",Prime Membership
264438,"CUSTOMER: @AmazonHelp why is amazon logistics unable to deliver packages to my correct address?

AMAZON: @179013 Hi- Without providing personal info, can you explain further what has happened? Are you waiting on a delivery now? ^NV

CUSTOMER: @AmazonHelp package status is delivered, package has not arrived. third time i've had this issue when ordering Prime Now.

AMAZON: @179013 Sorry to here about that! You can find tips for locating missing orders here https://t.co/gqSmOhsbTh ^MI",Delivery Issue
2355248,"CUSTOMER: @AmazonHelp Amazon, tenho um projeto de programa e queria saber como posso enviar para o comando da Amazon Prime Video Brasil... pode me ajudar? :)

AMAZON: @452593 Olá Wardz, coisa boa! ❤ Você pode entrar en contato com nossa equipe de relações públicas mediante este link: https://t.co/aVMY4yGDeg. ^DA

CUSTOMER: @AmazonHelp Obrigado, gente. :D

AMAZON: @452593 Nada, estamos para ajudar! :D ^CR",Other / Unclear
2283884,"CUSTOMER: @AmazonHelp one of your seller cheated with me, ordered stanley product but delivered products is not the same.

AMAZON: @183935 I'm terribly sorry for this situation. I'd suggest giving our Support team a call so they can go over available options with you: https://t.co/vlvfJr4nN9. ^MP",Damaged / Wrong / Missing Item
987194,"CUSTOMER: Get home yesterday to find my @115830 prime guaranteed next day no where in site. Today email to say ""delayed"" #birthdaypresent #fail

AMAZON: @353924 I'm really sorry Rob. What other information is available on the tracking? ^AT

CUSTOMER: @AmazonHelp #206-3534154-8593949 I'm just confused why I'm only getting an email today. I could have gone home via a shopping centre yesterday. 🤷‍♂️

AMAZON: @353924 Hi Rob, I'm afraid we can not access your Account via Twitter - has your order being delayed ?  ^TD",Delivery Issue
2965229,"CUSTOMER: I love @115821 but damn. I’m getting really tired of stuff never showing up on time. 😒

AMAZON: @818092 Hey, Mike we don't want to let you down. We'd like to help if we can, did we miss a delivery date? Please let us know. ^MO",Delivery Issue
822192,"CUSTOMER: @AmazonHelp Ordered a gift card last Sunday. 1-Day delivery. Confirmation e-mail said Thursday. Thursday, the date changed to Tuesday. I cancelled.

AMAZON: @315838 This isn't the experience we want for you. Did it already ship out? If so, which carrier was assigned: https://t.co/Y5jpI9gRhE? ^BH

CUSTOMER: @115821, why does it take 10 days to deliver a gift card that is advertised as 1-day shipping? #completefail #youhad1job

AMAZON: @315838 I'm sorry our order has yet to arrive. Have we missed the delivery date given in your confirmation e-mail? ^GG",Delivery Issue
439817,"CUSTOMER: @AmazonHelp Amazon France never delivers parcels at my home. They don't even come. They leave parcels at a collection point even though I stay at home. Please help me to avoid this issue before the next delivery on the 13th.

AMAZON: @219401 Hello, sorry to hear that :/ please contact our Costumer service directly via phone or chat 👉 https://t.co/kNTGheRKje ^SN",Delivery Issue
83469,"CUSTOMER: I’m sorry @115830 but you have just lost a customer! 001sport love being outdoors in the fresh air and planning our 2018 events we bought an annual planner from you. But if you insist with this packaging madness there won’t be fresh air or a future for anyone. Get a grip now! https://t.co/roV61xKo4K

AMAZON: @134338 Sorry to hear that. If you have a moment, please submit some packaging feedback via:  https://t.co/fxgZ6hTrFA ^TI",Other / Unclear
73545,"CUSTOMER: @115830 #AmazonUK @AmazonHelp why is it that when I signed up for Amazon prime you stated free next day delivery but my parcel that was supposed to be delivered today is delayed why

AMAZON: @132445 Hey I'm sorry to hear this, have you had any updates as to why your order has been delayed?^PJ",Delivery Issue
478638,"CUSTOMER: Thank you @AmazonHelp @115850 because of your communication gap between your own executives and miscommunication between you and your courier service, I had to tell a friend ""sorry your product wont be delivered as per Amazon's promise""
Sorry I ordered via #Amazon #AmazonIndia

AMAZON: @137893 We'd like to help you with this, could you please confirm if you've sent us your details using the link provided here: https://t.co/FBDLtOc4UA. ^AM

CUSTOMER: @AmazonHelp Thank you @AmazonHelp  But damage has been done and have filled that form of yours too. And I confess it was my mistake I trusted.

AMAZON: @137893 I get your disappointment. We'll work on the details that you've shared and get in touch with you. ^SG",Delivery Issue
2366270,"CUSTOMER: @AmazonHelp I have a prime account but then I sign in on Amazon now it tells me to use my email to get info on becoming prime ?

AMAZON: @121104 That sounds odd! You can manage your Prime benefits by clicking here: https://t.co/NM0yitH2Fd Do you see an active Prime account? Please let us know. ^NN

CUSTOMER: @AmazonHelp I am currently on holiday in New York does having a non USA prime account not work over here ?

AMAZON: @121104 I'm sorry for the problems you're experiencing, Adam. We're here to help! You can sign into your .co.uk account from anywhere you wish. Will you please describe the issue you're having, so that we can offer specific help? ^SE

CUSTOMER: @AmazonHelp I have prime and wanted to make use of a two hour delivery in New York but app isn't recognising me as a prime member. Prime video app still does though

AMAZON: @121104 The Amazon Prime Membership benefits will only be available on https://t.co/nUUp5MLhYl if this is the specific site you signed up on. If your Prime Membership is with any other Amazon site, you won't be able to use the benefits. ^LI",Prime Membership
1222993,"CUSTOMER: @115830 
I'm not happy that I will not get my order of Akira 35th anniversary box set that I pre-ordered on the 25th of April 2017

AMAZON: @406981 Sorry to hear this. Without sharing personal/account info, can you please advise what happened ? ^TD

CUSTOMER: @AmazonHelp I pre ordered akira 35th anniversary box set on the 25th of April the order was also confirmed by email and have not received my order

AMAZON: @406981 What delivery date were you originally given? ^KM

CUSTOMER: @AmazonHelp I didn't get one it said (Delivery date pending. We'll email you as soon as we have a delivery date.) But I assumed it would be around today

CUSTOMER: @AmazonHelp I didn't get one it said (Delivery date pending. We'll email you as soon as we have a delivery date.) But I assumed it would be around today

AMAZON: @406981 You can reach us via chat/phone &amp; we'll take a look together in real-time to see if we can help: https://t.co/JzP7hlA23B ^KN

AMAZON: @406981 I can see on the website that the item is temp out of stock so you will be emailed when we have it in stock again. ^KM

CUSTOMER: @AmazonHelp So after pre ordering it 8 months ago I have to wait to see IF it comes back in stock

AMAZON: @406981 To see what options are available for you, please contact us by phone or chat here: https://t.co/hApLpMlfHN Take care. -DA

CUSTOMER: @AmazonHelp this is my order number #206-9442359-5545144

AMAZON: @406981 Please reach out to us using the link DA provided! We'd like to look into this with you! ^ZW",Order Management
