root_tweet_id,thread_size,conversation,pseudo_intent,human_label,correct,predicted_intent
2278366,2,"CUSTOMER: Thanks for leaving my parcel out in the heavy rain, @AmazonHelp @115830 nothing like a soggy birthday book... https://t.co/aBewQA2NBm

AMAZON: @662462 Oh no! This isn't the level of service that we expect our customers to receive. We want to make this right! Please contact us via phone or chat at the following link so we can discuss available options with you: https://t.co/JzP7hlA23B ^MW",Digital Content,Digital Content,True,Damaged / Wrong / Missing Item
2748287,2,"CUSTOMER: @115830 extremely peeved! Pre-ordered the signed DanTDM tour dvd on 31/08. My boys expected it today but no - 2 very sad boys tonight 😡

AMAZON: @769528 Anna, I'm sorry to hear your boys are heartbroken. This what definitely not our intent. Did you receive updated shipping information via email regarding an expected delivery date? You can confirm here: https://t.co/aaDyEz1VgE ^SY",Damaged / Wrong / Missing Item,Damaged / Wrong / Missing Item,True,Delivery Issue
2211821,2,"CUSTOMER: @115830 On Drive, is there a way to find the things you're classing as files, not photos. Can't work out why I'm over quota.

AMAZON: @167148 We can certainly look into that for you! Reach out to us directly via the following link: https://t.co/JzP7hlA23B ^KI",Other / Unclear,Other / Unclear,True,Account / Access / Security
2500688,2,"CUSTOMER: @115821 pretty sure it's illegal to charge me for a prime membership without my consent so thanks for that little episode today 🙂

AMAZON: @713394 I'm sorry for any inconvenience this may have caused, Alexis! Just to clarify, were you able to cancel the membership and request a refund? https://t.co/hmUsKHkYBh. ^AL",Delivery Issue,Payment / Billing,False,Prime Membership
231456,4,"CUSTOMER: @AmazonHelp Haven't received any

AMAZON: @171125 I'm sorry about that, write to us here: https://t.co/GIJyeYqKE0 &amp; we'll be glad to help you with available options. ^MJ

CUSTOMER: @115850 - have written one mail. Request you to respond, as its urgent https://t.co/ZWu0SOIk3y

AMAZON: @171125 You would receive a reply soon. However, for immediate assistance please connect with our chat or phone support team. ^KA",Other / Unclear,Other / Unclear,True,Order Management
96839,6,"CUSTOMER: @115821 @AmazonHelp How do i get in contact with Amazon Logistics? The App is not working. No dropdown menu. No options. It signs in to a frozen screen. Uninstalled Reinstalled. Deleted Data &amp; cache. Nothing is working. #AmazonFlex

AMAZON: @137137 Sorry to hear that, Mayra. Are you able to access the app from an alternative device?^TI

CUSTOMER: @AmazonHelp Other than my work computer and my personal cell phone, no, I am not.

AMAZON: @137137 Please contact us here so we can explore options together, Mayra:  https://t.co/hApLpMlfHN ^SA

CUSTOMER: @AmazonHelp I've already contacted amazonflex-support. 22 &amp; counting emails to be exact. No one has been able to give me any resolution. Can i go to the Springfield, VA warehouse for help?

AMAZON: @137137 I'm very sorry for the inconvenience. Please take a moment to provide the details of your issue here, https://t.co/tbCFtSxDjB  We will reach out to you for a resolution. ^SP",Account / Access / Security,Account / Access / Security,True,Product / Device Support
1376064,2,"CUSTOMER: I actually cancelled @115821 prime tonight. Amazon logistics and @amazonhelp are why. Never thought it was possible. Wow.

AMAZON: @440334 I'm sorry you had a poor experience. Without giving any account/personal info, what issues were you having? ^SJ",Delivery Issue,Other / Unclear,False,Delivery Issue
982344,11,"CUSTOMER: @115850 I am not getting this number, why? https://t.co/hsYSon6Pap

AMAZON: @352915 Sorry about that. Kindly get in touch with us here: https://t.co/xmpG2ysTnu and we’ll be glad to help you. ^NS

CUSTOMER: @AmazonHelp At least understand the issue you idiot, copycat. Its your mistake, not mine... what are you going to help, moron

AMAZON: @352915 I get your concern. Please allow our team to check this for you. Kindly connect with them using the previous link. ^VN

CUSTOMER: @AmazonHelp for what you idiot, then what is your job??? just check the image again and use your brain, stupid

AMAZON: @352915 We'll not be able to access your account over twitter, Jinsen. Please connect with us and we'll get it checked. ^HD

CUSTOMER: @AmazonHelp Get lost idiot... All are fools

AMAZON: @352915 I understand you are upset. Please contact us via the link provided to you, we would certainly help you. ^MD

CUSTOMER: @AmazonHelp You idiot, good for nothing. This has nothing to do with me or my account. Check the agents number in the image. You fool it is not 1/2

AMAZON: @352915 I do get your concern regarding the delivery agents number, we'd like to get this checked. Hence as informed earlier 1/2 ^EM

AMAZON: @352915 kindly reach out to our support team in the link provided, we'll look into it and help you further. 2/2 ^EM",Delivery Issue,Delivery Issue,True,Account / Access / Security
249944,3,"CUSTOMER: @118919  folks looks like u famed delivery model is showing sign of cracking... last 4 order returned back ... that too for noida !!

AMAZON: @175394 Sorry about the bad experience. I'll be sure to pass along your feedback internally. 1/2^MS

AMAZON: @175394 You must've received an email with reason for the return, please check that and revert for updates. 2/2^MS",Delivery Issue,Delivery Issue,True,Return / Refund
493509,2,"CUSTOMER: @119356 My Order with Tracking ID 216278212094 has been ""delivered"" as per Amazon.in but I'm clueless about the whereabouts of the parcel. Help ?

AMAZON: @232646 I'm sorry about the conflicting scan codes. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^GD",Delivery Issue,Delivery Issue,True,Order Management
2298721,4,"CUSTOMER: @119625  why aren't @15710 episodes after s06e10 not available? When will they be uploaded?

AMAZON: @667259 We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. ^RB

CUSTOMER: @AmazonHelp But I took the membership primarily to watch @15710 . Request you to please the more episodes soon.

AMAZON: @667259 We have not made any announcements yet, Shubham. Please stay tuned for updates on this. ^KS",Delivery Issue,Delivery Issue,True,Digital Content
876264,2,"CUSTOMER: @115821 Needs to stop messing around and deliver my bed before I get home. Don't make me give your driver the stalk the mailman treatment.

AMAZON: @328037 I'm sorry for the trouble! Can you please confirm who the carrier is: https://t.co/Y5jpI9gRhE? ^ST",Other / Unclear,Other / Unclear,True,Delivery Issue
2889188,4,"CUSTOMER: Email von @116316:

- Bestellung gestrichen -

""Der folgende Titel ist leider nicht lieferbar: ..."" 

und was hier steht: ""Auf Lager"" https://t.co/C2bwUWxGYw

AMAZON: @801074 Hi, leider kann ich über Twitter nicht in dein Amazon Kundenkonto einsehen, deshalb kann ich auch nicht sagen, warum deine Bestellung storniert wurde. Melde dich doch bitte bei meinen Kollegen vom Kundenservice. Erreichen kannst du sie hier: https://t.co/ohyvGrpvrY ^AM

CUSTOMER: @AmazonHelp Danke erstmal für die Antwort bzw. Schnelle Hilfe, aber leider muss ich ab einer bestimmten Stelle: ""Artikel auswählen"". Das Problem ist in meinen Bestellungen ist es nicht mehr drinne.. :/

AMAZON: @801074 Du kannst auch auf ""Wählen Sie eine andere Bestellung"" klicken. Darunter gibt es dann eine blau hinterlegte Option ""Ich finde meine Bestellung nicht"". Du kannst danach in die Eingabezeile die Bestellnummer einfügen. :) ^SK",Account / Access / Security,Account / Access / Security,True,Other / Unclear
2133381,6,"CUSTOMER: @115821 What's the point in ordering games for release-day delivery nearly 2 months in advance when you can't honour that preorder? Useless

AMAZON: @627712 Hi, sorry to hear that. Have you received any emails in relation to the pre order? ^JJ

CUSTOMER: @AmazonHelp Nope, pre-ordered 6 weeks ago, and nothing. Chatted to help, and it's out of stock apparently. Pre-ordering from Amazon seems useless.

AMAZON: @627712 Is the order still pending now, or has it been canceled? ^NV

CUSTOMER: @AmazonHelp I cancelled it as I'm getting it from someone else who can actually follow up on their guarantees

AMAZON: @627712 So sorry to hear about this Matt. ^KM",Delivery Issue,Delivery Issue,True,Order Management
1135095,10,"CUSTOMER: @120533 ou est le colis? Boite aux lettre vide! Et je vais passer par vos 18 services comme la dernière fois pour que vous le trouviez. https://t.co/w01VEBNJsH

AMAZON: @387416 Bonjour, je vous invite à prendre contact auprès de notre SAV via: https://t.co/hgIrz98cdI afin qu'il fasse le nécessaire.^FT

CUSTOMER: @AmazonHelp c'est la seconde fois en 1 mois. Et je dois encore visiter plusieurs services. L'incompétence vous gagne. (2/2)

AMAZON: @387416 N'ayant pas une visibilité sur votre compte via Twitter, notre SAV est le mieux placé pour vous aider.^FT

CUSTOMER: @AmazonHelp Je sais, merci. 
Je paye un service que vous n'assurez pas, alors j'exprime mon mécontentement. les gens ont le droit de savoir que (1/1)

CUSTOMER: @AmazonHelp Payer son prime n'apporte rien. Les colis sont souvent en retard sur la date donnée, et parfois non livré. (2/2)

AMAZON: @387416 Vos avis et commentaires nous sont importants pour améliorer en continu la qualité des services. Merci de votre compréhension.^MH

CUSTOMER: @AmazonHelp Ma foi, si ça vous fais plaisir... Moi je reste mécontent. Vous irez expliquer à ma nièce pourquoi demain elle n'aura pas de cadeau d'annif.

AMAZON: @387416 Je comprends votre mécontentement et j'en suis navrée. Merci de vous rapprocher de notre SAV pour une solution. ^MA

AMAZON: @387416 Le nécessaire a été fait pour vous faire parvenir le colis dans les délais, cet incident ne dépend aucunement de notre volonté.^MH",Delivery Issue,Delivery Issue,True,Payment / Billing
907034,2,"CUSTOMER: @115817 @115821 looks like my package got ran over or something. Thankfully the ceramic dog bowls inside were fine https://t.co/MysrIzjK68

AMAZON: @303212 I'm sorry to see this! Please help us improve by linking this feedback to your specific order here: https://t.co/LJQBHI6Egm ^BH",Order Management,Order Management,True,Damaged / Wrong / Missing Item
2485529,2,"CUSTOMER: @115830 I ordered something that hasn't arrived. Seller said they'd resend still nothing and they are not responding to my messages through the site..  what can I do??

AMAZON: @709996 I'm so sorry to hear you're having an issue with your order! If the seller is not responding, you can file an A-to-Z Guarantee Claim here: https://t.co/XlpWjiLrx4 Please let us know if you need further assistance. ^RO",Delivery Issue,Delivery Issue,True,Order Management
